build,tier,query,ops,rep,ms
stock,A,sub,2,3,850.338
stock,A,sub,4,3,1365.849
stock,A,sub,8,3,2228.557
stock,A,mul,0,3,249.123
stock,A,mul,1,3,624.65
stock,A,mul,2,3,872.132
stock,A,mul,4,3,1390.089
stock,A,div,0,3,248.692
stock,A,div,1,3,787.806
stock,A,div,2,3,1210.144
stock,A,div,4,3,2107.496
stock,A,cmp,0,3,248.197
stock,A,cmp,1,3,462.43
stock,A,cmp,2,3,553.312
stock,A,cmp,4,3,725.14
stock,B,scan_count,1,3,248.665
stock,B,sum,1,3,399.465
stock,B,avg,1,3,398.417
stock,B,sum_8add,1,3,2498.661
stock,B,sum_expr_mixed,1,3,1261.86
stock,B,sum_mul,1,3,686.82
stock,B,sum_div,1,3,875.916
stock,B,stddev,1,3,482.775
stock,B,order_by_limit,1,3,0.122
stock,B,where_gt,1,3,462.442
stock,B,text_out,1,3,479.953
stock,B,hash_agg,1,3,875.609
stock,B,hash_join,1,3,971.088
stock,B,index_scan,1,3,85.801
stock,B,cast_int,1,3,508.506
stock,B,cast_float8,1,3,850.961
dec128,A,add,0,3,261.876
dec128,A,add,1,3,374.887
dec128,A,add,2,3,425.91
dec128,A,add,4,3,515.766
dec128,A,add,8,3,710.699
dec128,A,sub,0,3,261.112
dec128,A,sub,1,3,386.527
dec128,A,sub,2,3,436.722
dec128,A,sub,4,3,527.208
dec128,A,sub,8,3,719.615
dec128,A,mul,0,3,261.441
dec128,A,mul,1,3,382.957
dec128,A,mul,2,3,435.798
dec128,A,mul,4,3,525.724
dec128,A,div,0,3,260.34
dec128,A,div,1,3,1075.645
dec128,A,div,2,3,1761.824
dec128,A,div,4,3,3205.841
dec128,A,cmp,0,3,261.047
dec128,A,cmp,1,3,332.9
dec128,A,cmp,2,3,366.752
dec128,A,cmp,4,3,434.563
dec128,B,scan_count,1,3,262.181
dec128,B,sum,1,3,459.214
dec128,B,avg,1,3,459.631
dec128,B,sum_8add,1,3,838.491
dec128,B,sum_expr_mixed,1,3,629.736
dec128,B,sum_mul,1,3,548.596
dec128,B,sum_div,1,3,1224.713
dec128,B,stddev,1,3,558.949
dec128,B,order_by_limit,1,3,0.119
dec128,B,where_gt,1,3,332.222
dec128,B,text_out,1,3,534.922
dec128,B,hash_agg,1,3,641.063
dec128,B,hash_join,1,3,1042.671
dec128,B,index_scan,1,3,95.254
dec128,B,cast_int,1,3,569.75
dec128,B,cast_float8,1,3,867.93
stock,A,add,0,4,249.224
stock,A,add,1,4,594.404
stock,A,add,2,4,869.748
stock,A,add,4,4,1404.108
stock,A,add,8,4,2420.809
stock,A,sub,0,4,248.302
stock,A,sub,1,4,611.394
stock,A,sub,2,4,845.593
stock,A,sub,4,4,1354.19
stock,A,sub,8,4,2202.28
stock,A,mul,0,4,248.808
stock,A,mul,1,4,621.762
stock,A,mul,2,4,871.493
stock,A,mul,4,4,1389.207
stock,A,div,0,4,249.237
stock,A,div,1,4,789.771
stock,A,div,2,4,1209.584
stock,A,div,4,4,2111.146
stock,A,cmp,0,4,248.372
stock,A,cmp,1,4,463.851
stock,A,cmp,2,4,552.195
stock,A,cmp,4,4,725.146
stock,B,scan_count,1,4,249.012
stock,B,sum,1,4,398.021
stock,B,avg,1,4,398.104
stock,B,sum_8add,1,4,2498.364
stock,B,sum_expr_mixed,1,4,1257.605
stock,B,sum_mul,1,4,686.272
stock,B,sum_div,1,4,876.189
stock,B,stddev,1,4,483.327
stock,B,order_by_limit,1,4,0.124
stock,B,where_gt,1,4,463.731
stock,B,text_out,1,4,479.337
stock,B,hash_agg,1,4,875.355
stock,B,hash_join,1,4,972.055
stock,B,index_scan,1,4,84.624
stock,B,cast_int,1,4,509.712
stock,B,cast_float8,1,4,850.24
dec128,A,add,0,4,260.359
dec128,A,add,1,4,375.092
dec128,A,add,2,4,427.191
dec128,A,add,4,4,517.055
dec128,A,add,8,4,710.488
dec128,A,sub,0,4,263.74
dec128,A,sub,1,4,386.625
dec128,A,sub,2,4,438.944
dec128,A,sub,4,4,527.887
dec128,A,sub,8,4,719.668
dec128,A,mul,0,4,260.915
dec128,A,mul,1,4,383.382
dec128,A,mul,2,4,435.276
dec128,A,mul,4,4,525.518
dec128,A,div,0,4,261.067
dec128,A,div,1,4,1075.456
dec128,A,div,2,4,1760.87
dec128,A,div,4,4,3206.971
dec128,A,cmp,0,4,261.787
dec128,A,cmp,1,4,332.947
dec128,A,cmp,2,4,365.482
dec128,A,cmp,4,4,437.419
dec128,B,scan_count,1,4,261.151
dec128,B,sum,1,4,458.735
dec128,B,avg,1,4,458.701
dec128,B,sum_8add,1,4,839.021
dec128,B,sum_expr_mixed,1,4,630.732
dec128,B,sum_mul,1,4,547.35
dec128,B,sum_div,1,4,1224.948
dec128,B,stddev,1,4,558.846
dec128,B,order_by_limit,1,4,0.112
dec128,B,where_gt,1,4,333.716
dec128,B,text_out,1,4,534.272
dec128,B,hash_agg,1,4,640.276
dec128,B,hash_join,1,4,1040.33
dec128,B,index_scan,1,4,93.21
dec128,B,cast_int,1,4,568.934
dec128,B,cast_float8,1,4,870.674
