build,tier,query,ops,rep,ms
dec128,A,sub,8,2,754.647
dec128,A,mul,0,2,291.881
dec128,A,mul,1,2,413.854
dec128,A,mul,2,2,462.512
dec128,A,mul,4,2,567.355
dec128,A,div,0,2,291.483
dec128,A,div,1,2,561.357
dec128,A,div,2,2,771.253
dec128,A,div,4,2,1226.908
dec128,A,cmp,0,2,291.756
dec128,A,cmp,1,2,369.662
dec128,A,cmp,2,2,402.82
dec128,A,cmp,4,2,483.507
dec128,B,scan_count,1,2,290.574
dec128,B,sum,1,2,318.398
dec128,B,avg,1,2,317.738
dec128,B,sum_8add,1,2,775.353
dec128,B,sum_expr_mixed,1,2,545.208
dec128,B,sum_mul,1,2,446.969
dec128,B,sum_div,1,2,597.931
dec128,B,stddev,1,2,552.791
dec128,B,order_by_limit,1,2,0.116
dec128,B,where_gt,1,2,369.352
dec128,B,text_out,1,2,563.893
dec128,B,hash_agg,1,2,654.612
dec128,B,hash_join,1,2,1057.803
dec128,B,index_scan,1,2,101.474
dec128,B,cast_int,1,2,596.324
dec128,B,cast_float8,1,2,941.23
dec128,B,sum_d,1,2,329.289
dec128,B,sum_mul_d,1,2,474.883
dec128,B,ref_money_sum,1,2,322.565
dec128,B,ref_money_8add,1,2,449.769
dec128,B,ref_money_mul2,1,2,332.192
dec128,B,ref_bigint_sum,1,2,335.421
dec128,B,ref_bigint_8add,1,2,462.18
dec128,B,ref_bigint_mul,1,2,351.635
dec128,B,ref_float8_sum,1,2,941.471
dec128,B,num_mul2,1,2,437.584
stock,A,add,0,3,282.051
stock,A,add,1,3,618.336
stock,A,add,2,3,879.888
stock,A,add,4,3,1423.875
stock,A,add,8,3,2420.472
stock,A,sub,0,3,276.217
stock,A,sub,1,3,647.568
stock,A,sub,2,3,897.555
stock,A,sub,4,3,1450.797
stock,A,sub,8,3,2396.374
stock,A,mul,0,3,275.753
stock,A,mul,1,3,654.127
stock,A,mul,2,3,910.839
stock,A,mul,4,3,1440.704
stock,A,div,0,3,275.57
stock,A,div,1,3,811.617
stock,A,div,2,3,1244.534
stock,A,div,4,3,2164.622
stock,A,cmp,0,3,280.125
stock,A,cmp,1,3,459.771
stock,A,cmp,2,3,551.69
stock,A,cmp,4,3,728.873
stock,B,scan_count,1,3,274.511
stock,B,sum,1,3,418.292
stock,B,avg,1,3,418.229
stock,B,sum_8add,1,3,2521.002
stock,B,sum_expr_mixed,1,3,1285.56
stock,B,sum_mul,1,3,719.227
stock,B,sum_div,1,3,898.127
stock,B,stddev,1,3,505.156
stock,B,order_by_limit,1,3,0.137
stock,B,where_gt,1,3,460.011
stock,B,text_out,1,3,511.455
stock,B,hash_agg,1,3,918.124
stock,B,hash_join,1,3,964.043
stock,B,index_scan,1,3,92.767
stock,B,cast_int,1,3,526.01
stock,B,cast_float8,1,3,907.047
stock,B,sum_d,1,3,446.327
stock,B,sum_mul_d,1,3,710.121
stock,B,ref_money_sum,1,3,317.544
stock,B,ref_money_8add,1,3,471.698
stock,B,ref_money_mul2,1,3,332.102
