build,tier,query,ops,rep,ms
stock,A,add,0,1,256.715
stock,A,add,1,1,598.281
stock,A,add,2,1,854.387
stock,A,add,4,1,1398.3
stock,A,add,8,1,2425.048
stock,A,sub,0,1,255.787
stock,A,sub,1,1,622.499
stock,A,sub,2,1,875.61
stock,A,sub,4,1,1473.212
stock,A,sub,8,1,2424.843
stock,A,mul,0,1,255.563
stock,A,mul,1,1,634.496
stock,A,mul,2,1,890.881
stock,A,mul,4,1,1421.446
stock,A,div,0,1,255.442
stock,A,div,1,1,796.903
stock,A,div,2,1,1221.684
stock,A,div,4,1,2133.247
stock,A,cmp,0,1,259.333
stock,A,cmp,1,1,439.107
stock,A,cmp,2,1,531.741
stock,A,cmp,4,1,707.715
stock,B,scan_count,1,1,259.688
stock,B,sum,1,1,397.083
stock,B,avg,1,1,397.075
stock,B,sum_8add,1,1,2465.056
stock,B,sum_expr_mixed,1,1,1259.895
stock,B,sum_mul,1,1,699.483
stock,B,sum_div,1,1,875.574
stock,B,stddev,1,1,483.784
stock,B,order_by_limit,1,1,0.142
stock,B,where_gt,1,1,440.016
stock,B,text_out,1,1,489.067
stock,B,hash_agg,1,1,895.202
stock,B,hash_join,1,1,916.104
stock,B,index_scan,1,1,90.128
stock,B,cast_int,1,1,508.3
stock,B,cast_float8,1,1,884.584
dec128,A,add,0,1,272.803
dec128,A,add,1,1,372.427
dec128,A,add,2,1,420.963
dec128,A,add,4,1,515.586
dec128,A,add,8,1,701.493
dec128,A,sub,0,1,271.946
dec128,A,sub,1,1,385.013
dec128,A,sub,2,1,433.989
dec128,A,sub,4,1,529.045
dec128,A,sub,8,1,723.258
dec128,A,mul,0,1,271.985
dec128,A,mul,1,1,383.766
dec128,A,mul,2,1,428.01
dec128,A,mul,4,1,523.627
dec128,A,div,0,1,272.139
dec128,A,div,1,1,517.972
dec128,A,div,2,1,736.507
dec128,A,div,4,1,1254.62
dec128,A,cmp,0,1,273.115
dec128,A,cmp,1,1,337.671
dec128,A,cmp,2,1,368.413
dec128,A,cmp,4,1,441.189
dec128,B,scan_count,1,1,271.919
dec128,B,sum,1,1,297.432
dec128,B,avg,1,1,297.819
dec128,B,sum_8add,1,1,736.836
dec128,B,sum_expr_mixed,1,1,514.252
dec128,B,sum_mul,1,1,414.871
dec128,B,sum_div,1,1,548.909
dec128,B,stddev,1,1,548.536
dec128,B,order_by_limit,1,1,0.147
dec128,B,where_gt,1,1,337.495
dec128,B,text_out,1,1,532.622
dec128,B,hash_agg,1,1,669.437
dec128,B,hash_join,1,1,935.091
dec128,B,index_scan,1,1,102.48
dec128,B,cast_int,1,1,551.974
dec128,B,cast_float8,1,1,869.022
stock,A,add,0,2,257.23
stock,A,add,1,2,594.148
stock,A,add,2,2,855.547
stock,A,add,4,2,1398.826
stock,A,add,8,2,2406.299
stock,A,sub,0,2,255.51
stock,A,sub,1,2,623.421
stock,A,sub,2,2,870.052
stock,A,sub,4,2,1478.595
stock,A,sub,8,2,2416.356
stock,A,mul,0,2,257.287
stock,A,mul,1,2,630.344
stock,A,mul,2,2,891.896
stock,A,mul,4,2,1425.26
stock,A,div,0,2,255.696
stock,A,div,1,2,796.242
stock,A,div,2,2,1224.263
stock,A,div,4,2,2134.981
stock,A,cmp,0,2,257.684
stock,A,cmp,1,2,439.267
stock,A,cmp,2,2,530.809
stock,A,cmp,4,2,706.95
stock,B,scan_count,1,2,257.271
stock,B,sum,1,2,396.581
stock,B,avg,1,2,396.634
stock,B,sum_8add,1,2,2493.385
stock,B,sum_expr_mixed,1,2,1262.044
stock,B,sum_mul,1,2,698.178
stock,B,sum_div,1,2,875.375
stock,B,stddev,1,2,483.716
stock,B,order_by_limit,1,2,0.117
stock,B,where_gt,1,2,439.926
stock,B,text_out,1,2,491.905
stock,B,hash_agg,1,2,896.016
stock,B,hash_join,1,2,905.183
stock,B,index_scan,1,2,82.005
stock,B,cast_int,1,2,507.877
stock,B,cast_float8,1,2,885.896
dec128,A,add,0,2,272.931
dec128,A,add,1,2,372.072
dec128,A,add,2,2,420.394
dec128,A,add,4,2,515.064
dec128,A,add,8,2,700.975
dec128,A,sub,0,2,271.347
dec128,A,sub,1,2,385.16
dec128,A,sub,2,2,433.902
dec128,A,sub,4,2,528.743
dec128,A,sub,8,2,722.251
dec128,A,mul,0,2,272.869
dec128,A,mul,1,2,380.264
dec128,A,mul,2,2,427.566
dec128,A,mul,4,2,523.661
dec128,A,div,0,2,271.326
dec128,A,div,1,2,517.634
dec128,A,div,2,2,736.228
dec128,A,div,4,2,1253.818
dec128,A,cmp,0,2,272.472
dec128,A,cmp,1,2,337.267
dec128,A,cmp,2,2,367.54
dec128,A,cmp,4,2,440.162
dec128,B,scan_count,1,2,271.355
dec128,B,sum,1,2,297.617
dec128,B,avg,1,2,298.626
dec128,B,sum_8add,1,2,736.589
