build,tier,query,ops,rep,ms
stock,A,add,0,1,258.639
stock,A,add,1,1,602.417
stock,A,add,2,1,865.004
stock,A,add,4,1,1398.63
stock,A,add,8,1,2412.123
stock,A,sub,0,1,263.521
stock,A,sub,1,1,627.795
stock,A,sub,2,1,882.96
stock,A,sub,4,1,1433.261
stock,A,sub,8,1,2375.007
stock,A,mul,0,1,258.545
stock,A,mul,1,1,633.284
stock,A,mul,2,1,893.905
stock,A,mul,4,1,1425.66
stock,A,div,0,1,257.95
stock,A,div,1,1,793.972
stock,A,div,2,1,1225.303
stock,A,div,4,1,2140.98
stock,A,cmp,0,1,258.965
stock,A,cmp,1,1,444.397
stock,A,cmp,2,1,534.693
stock,A,cmp,4,1,710.283
stock,B,scan_count,1,1,257.202
stock,B,sum,1,1,399.496
stock,B,avg,1,1,399.123
stock,B,sum_8add,1,1,2474.917
stock,B,sum_expr_mixed,1,1,1262.346
stock,B,sum_mul,1,1,702.842
stock,B,sum_div,1,1,880.203
stock,B,stddev,1,1,486.049
stock,B,order_by_limit,1,1,0.146
stock,B,where_gt,1,1,444.201
stock,B,text_out,1,1,492.195
stock,B,hash_agg,1,1,899.439
stock,B,hash_join,1,1,1014.934
stock,B,index_scan,1,1,93.602
stock,B,cast_int,1,1,542.777
stock,B,cast_float8,1,1,889.801
dec128,A,add,0,1,270.499
dec128,A,add,1,1,380.295
dec128,A,add,2,1,428.242
dec128,A,add,4,1,522.614
dec128,A,add,8,1,714.832
dec128,A,sub,0,1,271.355
dec128,A,sub,1,1,393.62
dec128,A,sub,2,1,441.1
dec128,A,sub,4,1,541.643
dec128,A,sub,8,1,735.821
dec128,A,mul,0,1,269.81
dec128,A,mul,1,1,385.961
dec128,A,mul,2,1,436.961
dec128,A,mul,4,1,533.162
dec128,A,div,0,1,271.499
dec128,A,div,1,1,535.067
dec128,A,div,2,1,754.299
dec128,A,div,4,1,1212.85
dec128,A,cmp,0,1,269.818
dec128,A,cmp,1,1,339.205
dec128,A,cmp,2,1,372.517
dec128,A,cmp,4,1,439.237
dec128,B,scan_count,1,1,269.697
dec128,B,sum,1,1,295.829
dec128,B,avg,1,1,294.959
dec128,B,sum_8add,1,1,750.291
dec128,B,sum_expr_mixed,1,1,527.26
dec128,B,sum_mul,1,1,422.008
dec128,B,sum_div,1,1,574.135
dec128,B,stddev,1,1,526.882
dec128,B,order_by_limit,1,1,0.113
dec128,B,where_gt,1,1,340.363
dec128,B,text_out,1,1,536.903
dec128,B,hash_agg,1,1,642.309
dec128,B,hash_join,1,1,1022.693
dec128,B,index_scan,1,1,101.596
dec128,B,cast_int,1,1,529.951
dec128,B,cast_float8,1,1,876.279
stock,A,add,0,2,257.457
stock,A,add,1,2,602.583
stock,A,add,2,2,858.955
stock,A,add,4,2,1405.739
stock,A,add,8,2,2395.83
stock,A,sub,0,2,258.008
stock,A,sub,1,2,628.601
stock,A,sub,2,2,877.524
stock,A,sub,4,2,1437.319
stock,A,sub,8,2,2376.379
stock,A,mul,0,2,257.512
stock,A,mul,1,2,633.531
stock,A,mul,2,2,895.28
stock,A,mul,4,2,1424.763
stock,A,div,0,2,263.48
stock,A,div,1,2,794.056
stock,A,div,2,2,1224.539
stock,A,div,4,2,2140.024
stock,A,cmp,0,2,256.515
stock,A,cmp,1,2,443.936
stock,A,cmp,2,2,534.312
stock,A,cmp,4,2,710.693
stock,B,scan_count,1,2,259.362
