build,tier,query,ops,rep,ms
stock,A,add,0,1,279.575
stock,A,add,1,1,613.649
stock,A,add,2,1,876.541
stock,A,add,4,1,1421.055
stock,A,add,8,1,2411.926
stock,A,sub,0,1,272.467
stock,A,sub,1,1,639.937
stock,A,sub,2,1,895.377
stock,A,sub,4,1,1444.34
stock,A,sub,8,1,2390.716
stock,A,mul,0,1,271.754
stock,A,mul,1,1,647.469
stock,A,mul,2,1,906.943
stock,A,mul,4,1,1431.115
stock,A,div,0,1,277.988
stock,A,div,1,1,806.512
stock,A,div,2,1,1236.218
stock,A,div,4,1,2149.009
stock,A,cmp,0,1,271.217
stock,A,cmp,1,1,455.351
stock,A,cmp,2,1,548.049
stock,A,cmp,4,1,725.13
stock,B,scan_count,1,1,270.911
stock,B,sum,1,1,412.423
stock,B,avg,1,1,412.426
stock,B,sum_8add,1,1,2498.414
stock,B,sum_expr_mixed,1,1,1275.347
stock,B,sum_mul,1,1,716.002
stock,B,sum_div,1,1,893.025
stock,B,stddev,1,1,499.83
stock,B,order_by_limit,1,1,0.127
stock,B,where_gt,1,1,455.853
stock,B,text_out,1,1,504.343
stock,B,hash_agg,1,1,911.33
stock,B,hash_join,1,1,928.349
stock,B,index_scan,1,1,98.641
stock,B,cast_int,1,1,525.435
stock,B,cast_float8,1,1,900.809
stock,B,sum_d,1,1,441.279
stock,B,sum_mul_d,1,1,707.571
stock,B,ref_money_sum,1,1,314.359
stock,B,ref_money_8add,1,1,470.669
stock,B,ref_money_mul2,1,1,332.602
stock,B,ref_bigint_sum,1,1,331.074
stock,B,ref_bigint_8add,1,1,478.615
stock,B,ref_bigint_mul,1,1,348.753
stock,B,ref_float8_sum,1,1,909.821
stock,B,num_mul2,1,1,641.516
stock,D,sort_mem,1,1,1702.205
stock,D,sort_spill,1,1,1587.919
stock,D,sort_desc,1,1,1489.942
stock,D,sort_d_scale15,1,1,1324.211
stock,D,ref_sort_money,1,1,1050.662
stock,D,ref_sort_bigint,1,1,815.839
stock,D,distinct_sort,1,1,1816.825
stock,D,distinct_hash,1,1,916.131
stock,D,groupagg_sort,1,1,1847.692
stock,D,hashagg_highcard,1,1,2300.383
stock,D,hashagg_spill,1,1,2028.767
stock,D,minmax,1,1,0.13
stock,D,ref_minmax_money,1,1,343.566
stock,D,win_moving_sum,1,1,3164.345
stock,D,win_moving_avg,1,1,3654.238
stock,D,ref_win_money,1,1,2151.037
stock,D,percentile,1,1,1408.701
stock,D,variance,1,1,500.754
stock,D,merge_join,1,1,13245.304
dec128,A,add,0,1,287.233
dec128,A,add,1,1,397.253
dec128,A,add,2,1,445.083
dec128,A,add,4,1,539.986
dec128,A,add,8,1,736.206
dec128,A,sub,0,1,283.954
dec128,A,sub,1,1,409.209
dec128,A,sub,2,1,458.499
dec128,A,sub,4,1,554.099
dec128,A,sub,8,1,746.003
dec128,A,mul,0,1,283.813
dec128,A,mul,1,1,407.057
dec128,A,mul,2,1,454.292
dec128,A,mul,4,1,553.151
dec128,A,div,0,1,283.832
dec128,A,div,1,1,553.656
dec128,A,div,2,1,762.704
dec128,A,div,4,1,1219.349
dec128,A,cmp,0,1,284.765
dec128,A,cmp,1,1,362.914
dec128,A,cmp,2,1,395.298
dec128,A,cmp,4,1,479.408
dec128,B,scan_count,1,1,284.019
dec128,B,sum,1,1,310.708
dec128,B,avg,1,1,310.654
dec128,B,sum_8add,1,1,766.81
dec128,B,sum_expr_mixed,1,1,537.224
dec128,B,sum_mul,1,1,440.085
dec128,B,sum_div,1,1,590.849
dec128,B,stddev,1,1,544.016
dec128,B,order_by_limit,1,1,0.122
dec128,B,where_gt,1,1,362.785
dec128,B,text_out,1,1,557.114
dec128,B,hash_agg,1,1,644.493
dec128,B,hash_join,1,1,916.709
dec128,B,index_scan,1,1,108.932
dec128,B,cast_int,1,1,557.284
dec128,B,cast_float8,1,1,926.266
dec128,B,sum_d,1,1,321.57
dec128,B,sum_mul_d,1,1,467.767
dec128,B,ref_money_sum,1,1,313.876
dec128,B,ref_money_8add,1,1,444.324
dec128,B,ref_money_mul2,1,1,326.59
dec128,B,ref_bigint_sum,1,1,329.563
dec128,B,ref_bigint_8add,1,1,455.544
dec128,B,ref_bigint_mul,1,1,346.419
dec128,B,ref_float8_sum,1,1,925.967
dec128,B,num_mul2,1,1,429.824
dec128,D,sort_mem,1,1,1589.69
dec128,D,sort_spill,1,1,1451.266
dec128,D,sort_desc,1,1,1425.781
dec128,D,sort_d_scale15,1,1,1328.896
dec128,D,ref_sort_money,1,1,1076.487
dec128,D,ref_sort_bigint,1,1,822.285
dec128,D,distinct_sort,1,1,1476.364
dec128,D,distinct_hash,1,1,641.162
dec128,D,groupagg_sort,1,1,1518.735
dec128,D,hashagg_highcard,1,1,2310.246
dec128,D,hashagg_spill,1,1,2049.446
dec128,D,minmax,1,1,0.114
dec128,D,ref_minmax_money,1,1,340.645
dec128,D,win_moving_sum,1,1,2672.015
dec128,D,win_moving_avg,1,1,2996.361
dec128,D,ref_win_money,1,1,2088.463
dec128,D,percentile,1,1,1477.102
dec128,D,variance,1,1,545.288
dec128,D,merge_join,1,1,9485.736
stock,A,add,0,2,272.217
stock,A,add,1,2,613.457
stock,A,add,2,2,871.593
stock,A,add,4,2,1430.588
stock,A,add,8,2,2420.647
stock,A,sub,0,2,271.613
stock,A,sub,1,2,639.265
stock,A,sub,2,2,893.211
stock,A,sub,4,2,1444.392
stock,A,sub,8,2,2391.857
stock,A,mul,0,2,272.591
stock,A,mul,1,2,647.406
stock,A,mul,2,2,904.378
stock,A,mul,4,2,1431.741
stock,A,div,0,2,270.794
stock,A,div,1,2,807.502
stock,A,div,2,2,1240.676
stock,A,div,4,2,2153.125
stock,A,cmp,0,2,272.388
stock,A,cmp,1,2,454.614
stock,A,cmp,2,2,546.664
stock,A,cmp,4,2,723.613
stock,B,scan_count,1,2,271.33
stock,B,sum,1,2,412.749
stock,B,avg,1,2,412.889
stock,B,sum_8add,1,2,2491.087
stock,B,sum_expr_mixed,1,2,1276.112
stock,B,sum_mul,1,2,715.071
stock,B,sum_div,1,2,893.327
stock,B,stddev,1,2,499.841
stock,B,order_by_limit,1,2,0.134
stock,B,where_gt,1,2,455.068
stock,B,text_out,1,2,507.802
stock,B,hash_agg,1,2,910.926
stock,B,hash_join,1,2,926.545
stock,B,index_scan,1,2,90.799
stock,B,cast_int,1,2,522.139
stock,B,cast_float8,1,2,900.053
stock,B,sum_d,1,2,440.642
stock,B,sum_mul_d,1,2,705.701
stock,B,ref_money_sum,1,2,313.208
stock,B,ref_money_8add,1,2,468.335
stock,B,ref_money_mul2,1,2,328.112
stock,B,ref_bigint_sum,1,2,329.538
stock,B,ref_bigint_8add,1,2,477.539
stock,B,ref_bigint_mul,1,2,347.279
stock,B,ref_float8_sum,1,2,909.776
stock,B,num_mul2,1,2,641.019
stock,D,sort_mem,1,2,1581.788
stock,D,sort_spill,1,2,1578.747
stock,D,sort_desc,1,2,1479.165
stock,D,sort_d_scale15,1,2,1329.878
stock,D,ref_sort_money,1,2,1052.257
stock,D,ref_sort_bigint,1,2,818.96
stock,D,distinct_sort,1,2,1820.623
stock,D,distinct_hash,1,2,911.644
stock,D,groupagg_sort,1,2,1847.664
stock,D,hashagg_highcard,1,2,2284.09
stock,D,hashagg_spill,1,2,2032.202
stock,D,minmax,1,2,0.128
stock,D,ref_minmax_money,1,2,348.203
stock,D,win_moving_sum,1,2,3175.005
stock,D,win_moving_avg,1,2,3664.039
stock,D,ref_win_money,1,2,2156.383
stock,D,percentile,1,2,1412.456
stock,D,variance,1,2,500.586
stock,D,merge_join,1,2,13216.499
dec128,A,add,0,2,286.491
dec128,A,add,1,2,396.758
dec128,A,add,2,2,444.53
dec128,A,add,4,2,539.869
dec128,A,add,8,2,736.895
dec128,A,sub,0,2,284.466
dec128,A,sub,1,2,409.302
dec128,A,sub,2,2,458.905
dec128,A,sub,4,2,554.225
dec128,A,sub,8,2,745.965
dec128,A,mul,0,2,283.622
dec128,A,mul,1,2,406.033
dec128,A,mul,2,2,454.08
dec128,A,mul,4,2,553.611
dec128,A,div,0,2,284.278
dec128,A,div,1,2,553.793
dec128,A,div,2,2,763.28
dec128,A,div,4,2,1218.416
dec128,A,cmp,0,2,284.161
dec128,A,cmp,1,2,364.082
dec128,A,cmp,2,2,395.994
dec128,A,cmp,4,2,480.077
dec128,B,scan_count,1,2,283.757
dec128,B,sum,1,2,311.137
dec128,B,avg,1,2,311.024
dec128,B,sum_8add,1,2,766.219
dec128,B,sum_expr_mixed,1,2,536.969
dec128,B,sum_mul,1,2,440.138
dec128,B,sum_div,1,2,590.281
dec128,B,stddev,1,2,543.563
dec128,B,order_by_limit,1,2,0.102
dec128,B,where_gt,1,2,362.896
dec128,B,text_out,1,2,556.989
dec128,B,hash_agg,1,2,643.013
dec128,B,hash_join,1,2,930.81
dec128,B,index_scan,1,2,100.905
dec128,B,cast_int,1,2,556.409
dec128,B,cast_float8,1,2,925.707
dec128,B,sum_d,1,2,321.912
dec128,B,sum_mul_d,1,2,467.042
dec128,B,ref_money_sum,1,2,313.241
dec128,B,ref_money_8add,1,2,441.421
dec128,B,ref_money_mul2,1,2,324.115
dec128,B,ref_bigint_sum,1,2,330.124
dec128,B,ref_bigint_8add,1,2,454.076
dec128,B,ref_bigint_mul,1,2,345.292
dec128,B,ref_float8_sum,1,2,924.706
dec128,B,num_mul2,1,2,428.935
dec128,D,sort_mem,1,2,1452.678
dec128,D,sort_spill,1,2,1448.926
dec128,D,sort_desc,1,2,1429.966
dec128,D,sort_d_scale15,1,2,1339.77
dec128,D,ref_sort_money,1,2,1078.185
dec128,D,ref_sort_bigint,1,2,823.891
dec128,D,distinct_sort,1,2,1482.866
dec128,D,distinct_hash,1,2,643.041
dec128,D,groupagg_sort,1,2,1523.115
dec128,D,hashagg_highcard,1,2,2338.205
dec128,D,hashagg_spill,1,2,2062.689
dec128,D,minmax,1,2,0.108
dec128,D,ref_minmax_money,1,2,339.82
dec128,D,win_moving_sum,1,2,2686.268
dec128,D,win_moving_avg,1,2,3010.744
dec128,D,ref_win_money,1,2,2093.706
dec128,D,percentile,1,2,1480.908
dec128,D,variance,1,2,545.162
dec128,D,merge_join,1,2,9516.394
stock,A,add,0,3,271.867
stock,A,add,1,3,613.678
stock,A,add,2,3,871.465
stock,A,add,4,3,1426.085
stock,A,add,8,3,2419.254
stock,A,sub,0,3,271.485
stock,A,sub,1,3,639.565
stock,A,sub,2,3,893.496
stock,A,sub,4,3,1441.604
stock,A,sub,8,3,2377.431
stock,A,mul,0,3,271.154
stock,A,mul,1,3,647.173
stock,A,mul,2,3,905.747
stock,A,mul,4,3,1434.354
stock,A,div,0,3,270.855
stock,A,div,1,3,808.174
stock,A,div,2,3,1236.7
stock,A,div,4,3,2146.974
stock,A,cmp,0,3,271.422
stock,A,cmp,1,3,454.091
stock,A,cmp,2,3,546.447
stock,A,cmp,4,3,723.181
stock,B,scan_count,1,3,270.486
stock,B,sum,1,3,412.304
stock,B,avg,1,3,412.439
stock,B,sum_8add,1,3,2495.952
stock,B,sum_expr_mixed,1,3,1274.666
stock,B,sum_mul,1,3,714.106
stock,B,sum_div,1,3,891.475
stock,B,stddev,1,3,499.001
stock,B,order_by_limit,1,3,0.12
stock,B,where_gt,1,3,454.776
stock,B,text_out,1,3,503.318
stock,B,hash_agg,1,3,910.365
stock,B,hash_join,1,3,916.177
stock,B,index_scan,1,3,90.272
stock,B,cast_int,1,3,521.419
stock,B,cast_float8,1,3,900.323
stock,B,sum_d,1,3,439.53
stock,B,sum_mul_d,1,3,706.068
stock,B,ref_money_sum,1,3,316.793
stock,B,ref_money_8add,1,3,467.262
stock,B,ref_money_mul2,1,3,329.922
stock,B,ref_bigint_sum,1,3,329.397
stock,B,ref_bigint_8add,1,3,476.618
stock,B,ref_bigint_mul,1,3,348.101
stock,B,ref_float8_sum,1,3,909.454
stock,B,num_mul2,1,3,640.889
stock,D,sort_mem,1,3,1579.094
stock,D,sort_spill,1,3,1572.666
stock,D,sort_desc,1,3,1486.908
stock,D,sort_d_scale15,1,3,1328.441
stock,D,ref_sort_money,1,3,1052.292
stock,D,ref_sort_bigint,1,3,817.81
stock,D,distinct_sort,1,3,1817.484
stock,D,distinct_hash,1,3,911.003
stock,D,groupagg_sort,1,3,1852.465
stock,D,hashagg_highcard,1,3,2287.169
stock,D,hashagg_spill,1,3,2034.598
stock,D,minmax,1,3,0.131
stock,D,ref_minmax_money,1,3,343.642
stock,D,win_moving_sum,1,3,3173.92
stock,D,win_moving_avg,1,3,3661.303
stock,D,ref_win_money,1,3,2158.269
stock,D,percentile,1,3,1414.647
stock,D,variance,1,3,502.661
stock,D,merge_join,1,3,13212.963
dec128,A,add,0,3,286.99
dec128,A,add,1,3,396.993
dec128,A,add,2,3,444.505
dec128,A,add,4,3,540.172
dec128,A,add,8,3,737.217
dec128,A,sub,0,3,284.27
dec128,A,sub,1,3,409.271
dec128,A,sub,2,3,458.275
dec128,A,sub,4,3,554.798
dec128,A,sub,8,3,745.552
dec128,A,mul,0,3,283.684
dec128,A,mul,1,3,406.783
dec128,A,mul,2,3,454.445
dec128,A,mul,4,3,553.631
dec128,A,div,0,3,282.558
dec128,A,div,1,3,554.342
dec128,A,div,2,3,762.846
dec128,A,div,4,3,1219.407
dec128,A,cmp,0,3,284.386
dec128,A,cmp,1,3,362.226
dec128,A,cmp,2,3,394.97
dec128,A,cmp,4,3,479.379
dec128,B,scan_count,1,3,284.045
dec128,B,sum,1,3,313.248
dec128,B,avg,1,3,311.36
dec128,B,sum_8add,1,3,767.276
dec128,B,sum_expr_mixed,1,3,548.874
dec128,B,sum_mul,1,3,439.781
dec128,B,sum_div,1,3,590.351
dec128,B,stddev,1,3,544.695
dec128,B,order_by_limit,1,3,0.118
dec128,B,where_gt,1,3,362.724
dec128,B,text_out,1,3,557.141
dec128,B,hash_agg,1,3,643.497
dec128,B,hash_join,1,3,929.035
dec128,B,index_scan,1,3,99.703
dec128,B,cast_int,1,3,556.035
dec128,B,cast_float8,1,3,926.531
dec128,B,sum_d,1,3,322.558
dec128,B,sum_mul_d,1,3,467.018
dec128,B,ref_money_sum,1,3,313.981
dec128,B,ref_money_8add,1,3,442.07
dec128,B,ref_money_mul2,1,3,324.962
dec128,B,ref_bigint_sum,1,3,329.133
dec128,B,ref_bigint_8add,1,3,453.991
dec128,B,ref_bigint_mul,1,3,346.221
dec128,B,ref_float8_sum,1,3,926.12
dec128,B,num_mul2,1,3,429.783
dec128,D,sort_mem,1,3,1452.017
dec128,D,sort_spill,1,3,1448.874
dec128,D,sort_desc,1,3,1425.653
dec128,D,sort_d_scale15,1,3,1336.927
dec128,D,ref_sort_money,1,3,1077.467
dec128,D,ref_sort_bigint,1,3,824.96
